,Date,AAPL,MSFT,NVDA,TSLA,AMZN,GOOGL,META
0,2021-12-01 09:30:00,167.48,335.13,33.22,386.9,177.25,144.0,330.29
1,2021-12-01 16:00:00,164.77,330.08,31.44,365.0,172.19,141.05,310.6
2,2021-12-02 09:30:00,158.74,330.3,31.21,366.35,173.0,141.25,311.4
3,2021-12-02 16:00:00,163.76,329.49,32.13,361.53,171.87,142.97,310.39
4,2021-12-03 09:30:00,164.02,331.99,32.0,361.6,172.75,143.68,313.73
5,2021-12-03 16:00:00,161.84,323.01,30.69,338.32,169.49,142.0,306.84
6,2021-12-06 09:30:00,164.29,323.95,29.88,333.84,169.65,143.04,308.13
7,2021-12-06 16:00:00,165.32,326.19,30.04,336.34,171.37,143.16,317.87
8,2021-12-07 09:30:00,169.08,331.64,30.96,348.07,174.6,145.6,321.57
9,2021-12-07 16:00:00,171.18,334.92,32.43,350.58,176.16,147.27,322.81
10,2021-12-08 09:30:00,172.13,335.31,32.0,350.9,176.15,147.6,325.0
11,2021-12-08 16:00:00,175.08,334.97,31.83,356.32,176.16,148.19,330.56
12,2021-12-09 09:30:00,174.91,334.41,31.73,353.55,175.75,147.59,329.54
13,2021-12-09 16:00:00,174.56,333.1,30.49,334.6,174.17,147.64,329.82
14,2021-12-10 09:30:00,175.21,334.98,31.15,336.25,175.42,148.7,332.56
15,2021-12-10 16:00:00,179.45,342.54,30.2,339.01,172.21,148.0,329.75
16,2021-12-13 09:30:00,181.12,340.68,30.25,333.7,172.0,147.78,330.95
17,2021-12-13 16:00:00,175.74,339.4,28.16,322.14,169.57,145.83,334.49
18,2021-12-14 09:30:00,175.25,333.22,27.7,315.0,167.55,143.97,328.05
19,2021-12-14 16:00:00,174.33,328.34,28.34,319.5,169.09,143.91,333.74
20,2021-12-15 09:30:00,175.11,328.61,28.4,317.74,168.6,143.41,332.49
21,2021-12-15 16:00:00,179.3,334.65,30.46,325.33,173.32,146.44,341.66
22,2021-12-16 09:30:00,179.28,335.71,31.15,331.5,173.37,147.17,338.98
23,2021-12-16 16:00:00,172.26,324.9,28.39,308.97,168.87,144.45,334.9
24,2021-12-17 09:30:00,169.93,320.88,27.99,304.92,167.71,142.5,332.8
25,2021-12-17 16:00:00,171.14,323.8,27.8,310.86,170.02,141.73,333.79
26,2021-12-20 09:30:00,168.28,320.05,27.31,303.57,166.85,140.0,329.78
27,2021-12-20 16:00:00,169.75,319.91,27.72,299.98,167.08,141.61,325.45
28,2021-12-21 09:30:00,171.56,323.29,28.37,305.62,167.85,142.05,326.41
29,2021-12-21 16:00:00,172.99,327.29,29.08,312.84,170.42,143.47,334.2
30,2021-12-22 09:30:00,173.04,328.3,28.89,321.89,169.27,143.07,333.8
31,2021-12-22 16:00:00,175.64,333.2,29.4,336.29,171.04,146.42,330.45
32,2021-12-23 09:30:00,175.85,332.75,29.76,335.6,170.43,146.5,330.1
33,2021-12-23 16:00:00,176.28,334.69,29.64,355.67,171.07,146.92,335.24
34,2021-12-27 09:30:00,177.09,335.46,29.66,357.89,171.04,147.26,338.85
35,2021-12-27 16:00:00,180.33,342.45,30.95,364.65,169.67,147.91,346.18
36,2021-12-28 09:30:00,180.16,343.15,31.31,369.83,170.18,148.24,346.63
37,2021-12-28 16:00:00,179.29,341.25,30.32,362.82,170.66,146.69,346.22
38,2021-12-29 09:30:00,179.33,341.3,30.27,366.21,170.84,146.64,346.91
39,2021-12-29 16:00:00,179.38,341.95,30.0,362.06,169.2,146.66,342.94
40,2021-12-30 09:30:00,179.47,341.91,29.83,353.78,169.7,146.69,344.0
41,2021-12-30 16:00:00,178.2,339.32,29.59,356.78,168.64,146.2,344.36
42,2021-12-31 09:30:00,178.09,338.51,29.67,357.81,168.96,146.05,343.02
43,2021-12-31 16:00:00,177.57,336.32,29.41,352.26,166.72,144.85,336.35
44,2022-01-03 09:30:00,177.83,335.35,29.82,382.58,167.55,145.06,338.3
45,2022-01-03 16:00:00,182.01,334.75,30.12,399.93,170.4,144.99,338.54
46,2022-01-04 09:30:00,182.63,334.83,30.28,396.52,170.44,145.4,339.95
47,2022-01-04 16:00:00,179.7,329.01,29.29,383.2,167.52,144.4,336.53
48,2022-01-05 09:30:00,179.61,325.86,28.95,382.22,166.88,144.42,333.02
49,2022-01-05 16:00:00,174.92,316.38,27.6,362.71,164.36,137.78,324.17
50,2022-01-06 09:30:00,172.7,313.15,27.64,359.0,163.45,137.0,322.82
51,2022-01-06 16:00:00,172.0,313.88,28.18,354.9,163.25,137.75,332.46
52,2022-01-07 09:30:00,172.89,314.15,28.14,360.12,163.84,138.15,332.74
